Repository Name,Link to Repository,Last update,"Steward Assigned (if yes, list name; if no, write no)","ReadMe Quality (Excellent, Sufficient, Needs Work)",Comments in Code? (yes / no),"Code Cleanliness (Excellent, Sufficient, Needs Work)","Branching History / Merging (Excellent, Sufficient, Needs Work)",NMIND Documentation Level Assignment (Level 1 through Level 5),"NMIND Certification (Bronze, Silver, Gold)"
EuclideanDistancePlots ,https://gitlab.com/Fair_lab/euclideandistanceplots,Updated 1 year ago,no,,,,,,
example_argparser,https://gitlab.com/Fair_lab/example_argparser,Updated 2 years ago,no,,,,,,
FastOptoAnalysis ,https://gitlab.com/Fair_lab/fastoptoanalysis,Updated 1 year ago,no,,,,,,
fconn_matrices_tools,https://gitlab.com/Fair_lab/fconn_matrices_tools,Updated 2 months ago,Oscar,,,,,,
fconn_stats ,https://gitlab.com/Fair_lab/fconn_stats,Updated 1 month ago,Oscar,,,,,,
fconn_stats_wrapper ,https://gitlab.com/Fair_lab/fconn_stats_wrapper,Updated 1 year ago,no,,,,,,
figure-maker ,https://gitlab.com/Fair_lab/figure-maker,Updated 7 months ago,Robert/Greg,,,,,,
file_mapper ,https://gitlab.com/Fair_lab/file_mapper,Updated 1 year ago,Kathy,,,,,,
FIRMM ,https://gitlab.com/Fair_lab/FIRMM,Updated 1 year ago,no,Needs Work,yes,Excellent,,,
Flask Vue CRUD,https://gitlab.com/Fair_lab/flask-vue-crud,Updated 1 year ago,no,,,,,,
FNLSphinx ,https://gitlab.com/Fair_lab/FNLSphinx,Updated 1 year ago,no,,,,,,
framewise_displacement ,https://gitlab.com/Fair_lab/framewise_displacement,Updated 1 year ago,no,,,,,,
generic_for_functions ,https://gitlab.com/Fair_lab/generic_for_functions,Updated 2 months ago,Oscar,,,,,,
gephi_prepare ,https://gitlab.com/demeter/gephi_prepare,Updated 1 year ago,no,,,,,,
graphdb,https://gitlab.com/Fair_lab/graphdb,Updated 1 year ago,no,,,,,,
GUI_brain_connectivity ,https://gitlab.com/Fair_lab/GUI_brain_connectivity,Updated 1 year ago,Oscar,,,,,,
GUI_environments ,https://gitlab.com/Fair_lab/GUI_environments,Updated 4 days ago,no,,,,,,
hcp_comm_det_damien ,https://gitlab.com/Fair_lab/hcp_comm_det_damien,Updated 5 months ago,no,,,,,,
hcp_comm_det_RUSHMORE ,https://gitlab.com/demeter/hcp_comm_det_RUSHMORE,Updated 1 year ago,no,,,,,,
HCP_generic ,https://gitlab.com/Fair_lab/HCP_generic,Updated 1 year ago,no,,,,,,
HCP_Infant ,https://gitlab.com/Fair_lab/HCP_Infant,Updated 1 year ago,no,,,,,,
HCP_Macaque_BIDS ,https://gitlab.com/Fair_lab/hcp_macaque_bids,Updated 1 year ago,no,,,,,,
HCP_macaque_generic ,https://gitlab.com/Fair_lab/HCP_macaque_generic,Updated 1 year ago,no,,,,,,
HCPGenericRewrite ,https://gitlab.com/Fair_lab/HCPGenericRewrite,Updated 1 year ago,no,,,,,,
hcponeclick ,https://gitlab.com/Fair_lab/hcponeclick,Updated 1 year ago,no,,,,,,
hcponeclick_NHA ,https://gitlab.com/Fair_lab/hcponeclick_NHA,Updated 1 year ago,no,,,,,,
hcponeclick_task ,https://gitlab.com/Fair_lab/hcponeclick_task,Updated 1 year ago,no,,,,,,
HCPVaTT ,https://gitlab.com/Fair_lab/HCPVaTT,Updated 1 year ago,no,,,,,,
HeritabilityAnalysis ,https://gitlab.com/Fair_lab/heritabilityanalysis,Updated 2 years ago,no,,,,,,
HFD_Microglia_Analysis ,https://gitlab.com/Fair_lab/hfd_microglia_analysis,Updated 1 year ago,no,Needs Work,yes,Excellent,,,
HistologyTools ,https://gitlab.com/Fair_lab/HistologyTools,Updated 1 year ago,no,,,,,,
image_manipulation ,https://gitlab.com/Fair_lab/image_manipulation,Updated 1 year ago,Oscar,,,,,,
Image_Pre_Evaluation ,https://gitlab.com/Fair_lab/Image_Pre_Evaluation,Updated 1 year ago,no,,,,,,
infant_submitters ,https://gitlab.com/Fair_lab/infant_submitters,Updated 3 weeks ago,no,,,,,,
Initial_Image_Eval ,https://gitlab.com/Fair_lab/Initial_Image_Eval,Updated 1 year ago,no,,,,,,
IntendedFor ,https://gitlab.com/Fair_lab/intendedfor,Updated 1 year ago,no,,,,,,
IntendedForGui ,https://gitlab.com/Fair_lab/intendedforgui,Updated 11 months ago,no,,,,,,
JSONS-Examples,https://gitlab.com/Fair_lab/JSONS-Examples,Updated 1 year ago,no,,,,,,
jupyter-tutorials,https://gitlab.com/Fair_lab/jupyter-tutorials,Updated 1 year ago,no,,,,,,
lab_bashrc ,https://gitlab.com/Fair_lab/lab_bashrc,Updated 1 year ago,no,,,,,,
LongitudinalAnalysisGUI ,https://gitlab.com/Fair_lab/LongitudinalAnalysisGUI,Updated 1 year ago,no,,,,,,
LONI_pipe_modules ,https://gitlab.com/Fair_lab/LONI_pipe_modules,Updated 1 year ago,no,,,,,,
